,dimmer,serverNum,avgThroughput,resUtil,timeoutRate
0,0.8200000000000001,2,11.750000000000055,0,0.012765957446809
1,0.73,1,10.63333333333338,1,0
2,0.24,2,10.716666666666676,0,0
3,0.97,3,9.933333333333069,2,0
4,0.28,3,9.800000000000058,2,0
5,0.54,2,9.200000000000257,1,0
6,0.84,3,9.733333333333073,1,0
7,0.30000000000000004,3,9.133333333333375,1,0
8,0.69,3,9.750000000000245,0,0
9,0.24,3,9.783333333333323,2,0
10,0.09999999999999998,2,9.449999999999626,1,0
11,0.19999999999999996,2,9.633333333333558,2,0
12,0.56,3,9.416666666666377,1,0
13,0.51,3,9.216666666666496,1,0
14,0.56,3,9.16666666666659,1,0
15,0.43000000000000005,3,8.566666666666492,0,0
16,0.6,3,8.399999999999933,0,0
17,0.4,2,8.050000000000134,2,0
18,0.98,2,7.649999999999768,1,0
19,0.54,1,7.766666666666483,2,0
20,0.040000000000000036,1,7.5833333333334405,2,0
21,0.0,1,7.00000000000014,1,0
22,0.29000000000000004,1,7.533333333333243,2,0
23,0.49,1,7.950000000000163,0,0
24,0.83,1,8.09999999999979,2,0
25,0.20999999999999996,1,7.799999999999891,1,0
26,0.95,2,7.399999999999734,1,0
27,0.7,3,7.066666666666873,1,0
28,0.45999999999999996,3,6.8000000000000815,1,0
29,0.71,3,6.733333333333266,0,0
30,0.020000000000000018,3,6.633333333333382,1,0
31,0.06000000000000005,3,6.81666666666655,2,0
32,0.96,2,6.683333333333546,0,0
33,0.13,2,7.133333333333357,1,0
34,0.49,3,7.083333333333097,0,0
35,0.84,3,7.716666666666884,2,0
36,0.4,3,7.849999999999824,0,0
37,0.73,3,8.13333333333341,2,0
38,0.47,3,8.083333333333044,2,0
39,0.6699999999999999,3,8.16666666666645,0,0
40,0.28,3,8.250000000000083,2,0
41,0.21999999999999997,2,8.199999999999672,1,0
42,0.61,2,8.349999999999733,1,0
43,0.39,3,8.416666666666583,1,0
44,0.43999999999999995,3,8.466666666666843,0,0
45,0.42000000000000004,3,8.549999999999663,1,0
46,0.9,2,8.300000000000232,1,0
47,0.76,3,7.916666666666931,1,0
48,0.6,3,8.199999999999672,2,0
49,0.43000000000000005,2,7.983333333333284,2,0
50,0.20999999999999996,1,8.09999999999979,0,0
51,0.27,1,7.933333333333159,2,0
52,0.08999999999999997,1,12.183333333333346,0,0
53,0.97,1,16.200000000000102,1,0
54,0.20999999999999996,1,16.533333333333317,2,0.0080726538849647
55,0.51,1,16.516666666666698,1,0
56,0.84,1,18.066666666666684,0,0
57,0.37,2,18.100000000000126,2,0
58,0.98,1,17.916666666666696,0,0
59,0.18000000000000005,2,19.566666666666645,0,0
60,0.52,2,19.79999999999981,0,0
61,0.55,1,20.249999999999883,2,0
62,0.74,1,22.00000000000022,1,0.21281464530892
63,0.92,1,23.466666666666868,1,0.6789667896679
64,0.85,1,24.099999999999977,2,1
65,0.42000000000000004,1,25.383333333333102,1,1
66,0.6,1,26.98333333333365,2,0.32659574468085
67,0.6599999999999999,1,26.71666666666648,2,0.95739910313901
68,0.6799999999999999,1,27.03333333333347,0,1
69,0.91,1,26.533333333333527,0,0.43049568965517
70,0.5900000000000001,1,28.300000000000317,2,0.39964050329539
71,0.030000000000000027,1,29.499999999999794,2,1
72,0.47,2,30.0000000000003,0,0.14756446991404
73,0.87,2,30.716666666666704,1,0
74,0.84,2,31.433333333333323,1,0
75,0.18999999999999995,2,33.800000000000054,1,0
76,0.30000000000000004,1,38.96666666666716,1,0
77,0.08999999999999997,1,52.43333333333453,1,0.20677186061801
78,0.7,1,57.6333333333331,0,0.02835485682201
79,0.37,1,60.700000000000564,2,0.97736351531292
80,0.6799999999999999,1,62.08333333333168,1,1
81,0.25,1,57.183333333331944,2,1
82,0.45999999999999996,1,59.09999999999878,1,1
83,0.62,1,63.533333333335214,1,1
84,0.86,1,70.23333333333456,0,1
85,0.020000000000000018,1,61.40000000000025,0,1
86,0.5900000000000001,1,43.849999999999675,2,0.16180711310477
87,0.53,2,39.26666666666703,2,0.98643897538925
88,0.8,3,35.68333333333276,0,0.44213886671987
89,0.84,3,33.53333333333346,0,0
90,0.77,2,32.31666666666649,0,0
91,0.30000000000000004,2,32.75000000000018,1,0
92,0.42000000000000004,3,41.1166666666674,0,0
93,0.77,3,46.48333333333305,2,0
94,0.73,3,47.5500000000002,0,0.24222065063649
95,0.64,2,50.84999999999882,1,0.0016260162601626
96,0.91,1,51.9500000000008,2,0.98118279569892
97,1.0,2,50.11666666666568,0,1
98,0.10999999999999999,2,53.133333333334384,1,0.90356083086053
99,0.16000000000000003,1,55.1999999999985,0,0.10943084960132
100,0.79,2,53.79999999999866,0,0
101,0.74,2,37.88333333333389,1,0
102,0.5800000000000001,1,31.349999999999742,2,0.97730138713745
103,0.76,1,28.200000000000333,2,1
104,0.99,1,25.3166666666669,1,1
105,0.6599999999999999,2,11.783333333333314,0,0.68376963350785
106,0.94,1,10.616666666666704,2,0
107,0.47,2,10.716666666666676,2,0
108,0.6799999999999999,2,9.933333333333069,1,0
109,0.79,2,9.800000000000058,2,0
110,0.69,2,9.216666666666496,0,0
111,0.12,1,9.733333333333073,0,0
112,0.97,1,9.116666666666426,0,0
113,0.28,2,9.750000000000245,1,0
114,0.38,1,9.783333333333323,2,0
115,0.38,2,9.466666666666793,0,0
116,0.96,2,9.616666666666273,0,0
117,0.52,2,9.43333333333326,1,0
118,0.71,1,9.200000000000257,0,0
119,0.21999999999999997,1,9.16666666666659,0,0
120,0.18999999999999995,1,8.583333333333483,1,0
121,0.43000000000000005,1,8.399999999999933,0,0
122,0.16000000000000003,1,8.033333333333324,2,0
123,0.14,2,7.666666666666411,2,0
124,0.45999999999999996,1,7.749999999999766,1,0
125,0.56,2,7.600000000000061,2,0
126,0.6799999999999999,3,6.983333333333533,1,0
127,0.06000000000000005,2,7.533333333333243,0,0
128,0.44999999999999996,2,7.966666666666747,0,0
129,0.39,1,8.09999999999979,1,0
130,0.09999999999999998,2,7.783333333333352,1,0
131,0.98,2,7.416666666666519,1,0
132,0.19999999999999996,1,7.049999999999786,2,0
133,0.92,1,6.81666666666655,0,0
134,0.43000000000000005,2,6.733333333333266,2,0
135,0.25,2,6.633333333333382,2,0
136,0.6799999999999999,1,6.81666666666655,1,0
137,0.07999999999999996,1,6.666666666666667,2,0
138,0.91,2,7.149999999999992,1,0
139,1.0,3,7.083333333333097,0,0
140,0.48,3,7.699999999999992,1,0
141,0.16000000000000003,3,7.849999999999824,1,0
142,0.55,2,8.149999999999833,2,0
143,0.47,2,8.066666666666688,0,0
144,0.89,1,8.18333333333363,0,0
145,0.81,1,8.250000000000083,0,0
146,0.95,2,8.199999999999672,2,0
147,0.38,1,8.333333333333334,1,0
148,0.94,2,8.433333333333634,0,0
149,0.040000000000000036,1,8.450000000000156,0,0
150,0.43000000000000005,2,8.549999999999663,1,0
151,0.31000000000000005,3,8.316666666666933,0,0
152,0.64,2,7.916666666666931,1,0
153,0.27,3,8.18333333333363,1,0
154,0.28,3,8.0,2,0
155,0.56,3,8.083333333333044,0,0
156,0.14,3,7.933333333333159,0,0
157,0.5800000000000001,3,12.183333333333346,0,0
158,0.27,3,16.200000000000102,0,0
159,0.6799999999999999,3,16.533333333333317,1,0
160,0.56,3,16.516666666666698,2,0
161,0.47,3,18.066666666666684,0,0
162,0.26,3,18.100000000000126,1,0
163,0.64,3,17.916666666666696,0,0
164,0.81,2,19.566666666666645,1,0
165,0.89,2,19.783333333333342,2,0
166,0.63,2,20.266666666666623,2,0
167,0.6699999999999999,2,22.00000000000022,0,0
168,0.25,1,23.466666666666868,1,0
169,0.12,2,24.099999999999977,0,0
170,0.54,1,25.383333333333102,2,0
171,0.95,1,26.98333333333365,1,0.9238578680203
172,0.06000000000000005,1,26.71666666666648,0,1
173,0.7,2,27.03333333333347,2,0.14640591966173
174,0.22999999999999998,2,26.533333333333527,0,0.0037688442211055
175,0.81,2,28.300000000000317,2,0
176,0.53,2,29.499999999999794,0,0.065573770491803
177,0.28,2,30.0000000000003,1,0
178,0.44999999999999996,2,30.700000000000124,2,0
179,0.31000000000000005,2,31.433333333333323,1,0.00053191489361702
180,0.25,2,33.800000000000054,1,0
181,0.15000000000000002,1,38.96666666666716,1,0
182,0.040000000000000036,2,52.43333333333453,0,0
183,0.47,1,57.61666666666562,0,0
184,0.42000000000000004,1,60.683333333333195,2,0.89829457364341
185,0.48,2,62.10000000000174,0,1
186,0.94,2,57.183333333331944,0,0.29358942379646
187,0.97,2,59.116666666665,1,0.72175226586103
188,0.95,1,63.51666666666614,0,1
189,0.65,1,70.21666666666496,1,1
190,0.36,2,61.41666666666712,2,1
191,0.29000000000000004,3,43.849999999999675,0,0.39391025641026
192,0.06000000000000005,3,39.30000000000022,1,0
193,0.0,3,35.666666666666785,0,0
194,0.8200000000000001,2,33.53333333333346,2,0
195,0.43000000000000005,3,32.33333333333374,2,0.76774903687397
196,0.16000000000000003,3,32.73333333333345,1,0.093959731543624
197,0.28,3,41.1,1,0
198,0.050000000000000044,3,46.48333333333305,1,0
199,0.16000000000000003,2,47.5500000000002,1,0
200,0.0,1,50.86666666666688,0,0
201,0.76,1,51.93333333333295,0,0
202,0.39,1,50.11666666666568,2,0.97721822541966
203,0.6,1,53.133333333334384,2,1
204,0.71,1,55.18333333333236,0,1
205,0.17000000000000004,1,53.8166666666675,1,1
206,0.030000000000000027,1,37.900000000000475,2,0.25396825396825
207,0.62,1,31.366666666666294,2,0
208,0.36,1,28.183333333332982,2,0.97335203366059
209,0.9299999999999999,2,25.35000000000004,1,0.43449048152296
