Value,Timestamp,MetricId,Unit,Description,Entity,IntervalSecs
314,12/30/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
315,12/29/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
319,12/28/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
321,12/27/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
313,12/26/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
305,12/25/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
335,12/24/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
333,12/23/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
313,12/22/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
355,12/21/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
383,12/20/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
175,12/19/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
266,12/18/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
146,12/17/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
144,12/16/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
209,12/15/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
175,12/14/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
192,12/13/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
207,12/12/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
173,12/11/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
154,12/10/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
159,12/9/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
165,12/8/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
173,12/7/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
113,12/6/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
85,12/5/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
142,12/4/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
99,12/3/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
90,12/2/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
107,12/1/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
210,11/30/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
239,11/29/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
215,11/28/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
213,11/27/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
230,11/26/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
224,11/25/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
203,11/24/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
